ZL_ohm;V0;I0;VL;IL
631.1549476768992;(132497.59739479172-10548.825451635777j);(219.29320438684374+45.61109253800338j);(124569.5024534798-24958.483893886758j);(202.9386950824745-51.03796649972503j)
440.1607106586698;(126627.63102501545-9045.035543572176j);(300.58531244969424+6.2134176586654295j);(124753.03516496431-38624.4135801727j);(280.29886594992666-81.78722509295233j)
679.400814349488;(130038.53348753342-8825.544291402919j);(207.55906243835722+45.05382841875826j);(133098.784241837-29304.383811269683j);(196.45868917753762-40.799662891689486j)
587.4997765638375;(133197.98459678525-14145.35250653999j);(227.2284111447713+43.14916770592788j);(129104.38110650764-31967.934748981206j);(224.9698724527924-49.238768755095855j)
243.68108829596025;(122281.48531472591-17578.63758485997j);(458.2272997845356-142.35572572302075j);(95615.83904465113-53056.57460974954j);(418.92038945738733-215.79414606300026j)
746.1047404329508;(131891.00741561464-3716.2298865971043j);(184.7292240994187+61.54042268642689j);(133096.24663982107-21049.834160455583j);(175.23014731917473-31.527597516472248j)
623.8496301345012;(134690.40698269368-10209.467995431785j);(221.27145604891928+37.590805751207434j);(131035.44286367485-28206.72250947503j);(206.0101756235623-46.421115922654785j)
638.0566540078637;(130588.05886857939-10645.001700333054j);(204.95289787020653+35.00300841474987j);(127968.70483966256-29393.995138753417j);(212.65240908087716-44.99087041495609j)
263.02477062506114;(123834.1708942832-14417.820145373613j);(399.0597308037928-125.62291629849524j);(101073.23601062146-54912.59241297624j);(418.2085965742779-180.10090509523693j)
446.71998460047325;(132653.66869910512-10064.545299707748j);(295.7366738537247-9.63492184005051j);(118969.5340741389-38006.410386966316j);(270.77628973187007-93.52954140286543j)
401.3548738125713;(128578.27361724478-12662.403560427778j);(318.10426621856817-26.99405863834514j);(119623.17958253839-45476.32200121545j);(308.8305850978803-91.05423554227148j)
718.256043643703;(129631.12818972797-7064.731241416102j);(194.1511689327511+52.736981981329386j);(131905.7048957216-23409.598214262827j);(186.29965260954597-42.16313563155651j)
557.0031184459788;(131726.45147693672-10084.162072714184j);(238.1928466550783+29.8242324922865j);(127513.68718879657-29066.349038358214j);(227.79731011429055-56.43791128424852j)
658.974119564373;(125814.17037713926-13868.139658304275j);(212.86905010585215+45.95318069694643j);(133197.86031845986-32399.61042185731j);(196.3811608149795-58.17144765452966j)
442.7460933315788;(127291.0366904726-12976.150745659459j);(292.8395811843385-7.747274912480384j);(125086.03658342679-43376.12005922701j);(265.851054294463-84.81573040278685j)
319.52607141732284;(125176.92396014534-10330.303505632082j);(378.1771992105666-67.16822347757405j);(107050.97769213511-50037.45150071777j);(352.5068464696452-158.24264288277385j)
506.11332859902586;(131643.60195649383-9843.132546193958j);(257.7019740583406+8.306717507881554j);(128416.42543364038-35433.030478989j);(248.5500985201993-63.308380070231834j)
226.37583597937993;(125964.6691199507-23833.97809926742j);(467.7956055733314-163.58445297595821j);(95093.18809886712-53807.05310677848j);(422.1650611176812-228.54736789882082j)
661.7497680357718;(135894.08956469284-7634.685621776402j);(206.33854313719135+46.06016971999842j);(127928.25511524714-30956.57763809758j);(198.2959733533628-44.337082403768136j)
550.048707499577;(129439.82689035323-5261.507361917156j);(242.43538427706963+26.762192207282887j);(127327.53501268482-39842.69948210694j);(249.12442048661921-64.59249410488853j)
622.1100118486631;(134358.72878368403-15640.122584906723j);(220.6719487856431+29.55559466242299j);(128055.3706098486-26557.833195695195j);(212.97211844359217-45.00971304930741j)
392.079801834025;(130023.07032962228-17698.87408000838j);(311.5723444554099-19.90595638345043j);(122700.81917021192-41340.37975741169j);(308.3174069733631-103.77052778220921j)
743.2978739050949;(135160.7975390718-6692.423406401524j);(183.373980121528+59.97169649560279j);(129449.21865352416-30673.051672781443j);(178.46804039654705-42.11868011775031j)
699.0790391536527;(129571.57555847129-8204.273942941172j);(195.39380787560103+44.857034317059814j);(132713.57910864387-24268.385716538676j);(191.83458476156065-34.62674212198683j)
633.6785933320443;(127878.044453327-7206.284739622999j);(218.13637617398663+37.19255054424047j);(128968.26160942386-31020.68176998855j);(198.73203300085092-58.6972416011742j)
300.94406347562153;(126524.96282811195-13816.164662858067j);(399.8799475968568-73.8594157884304j);(109798.88930875507-47691.74828142087j);(380.4959936595537-173.88388894718454j)
456.03097212440946;(129217.9138859743-10705.200353134565j);(275.9526952445118-7.197385935885186j);(125020.18309966635-39641.890028272814j);(273.5748311759175-85.1158093662601j)
214.9681464987204;(123713.91456559364-15613.376405035597j);(459.895179649309-200.09414135453048j);(90547.20178152376-61513.10794265177j);(471.12939331095504-264.0008445627856j)
277.94501047850224;(127268.79055327535-17531.757613383903j);(409.2141063449053-104.76138896848582j);(103588.01102688888-46728.28482137134j);(398.7249534381488-189.19166792861733j)
579.3379033481991;(135044.68810441892-6252.356087447235j);(239.68565990318166+36.38369744966991j);(128754.24054858516-32044.4738930012j);(212.28014122829-58.09947079653269j)
614.5144288674558;(133480.0061456506-10084.11576076621j);(231.18458619646944+39.414115872540194j);(126878.63733957833-34332.839614430704j);(204.87549768395468-50.041377675483204j)
741.4805474874997;(132431.3515062009-16248.083124480938j);(192.9441715083064+63.25717400010685j);(130044.51790280515-24898.551266504015j);(174.25652916414586-28.808713799624122j)
375.7204541387466;(125836.26570035805-13463.158825255756j);(345.5711925864112-24.618536274600523j);(116626.2732792309-40360.561387558504j);(318.77737608646487-106.64623828553674j)
401.16203243987525;(133251.8707409777-7729.2602848632205j);(308.598524603463-27.918793345093146j);(121059.66425119322-42825.764712170574j);(270.0345183351151-95.96262312879048j)
457.64681242721053;(126322.38108952022-12328.49140090982j);(280.6222495218627-0.7067238916166056j);(125006.0414894866-43522.051858732666j);(266.7141021414373-95.88593772809948j)
297.99867467804285;(124402.54955184709-13859.810556241313j);(398.2816236147443-91.93565648009506j);(115545.63075897175-47743.58564955117j);(379.4102827644952-160.22019065011483j)
264.05525804121885;(122919.75449243616-16692.388596337594j);(404.18500393686156-124.59267310017226j);(95590.96397801257-54592.59198578231j);(391.62255336420145-219.28421788306468j)
461.1518079487822;(126945.71284018444-10228.952328735199j);(289.25659009610035+5.778514958044944j);(116828.26448976525-32728.36561013334j);(265.7411591132025-58.858900643807495j)
319.33832895900395;(126121.4850092427-12602.279210879302j);(366.22154477063185-64.10165206582406j);(116368.24347084304-47045.30974221711j);(360.63334570617405-144.3015663166176j)
571.7939769690308;(126763.65895337457-7972.652629472338j);(233.71914559232755+34.70195292683108j);(125170.16986667116-28436.444625249165j);(220.42154914995072-43.01388780629524j)
439.1765937572285;(128635.26664452931-9235.12802055826j);(284.6131659378295-2.9258985459964624j);(120007.74075070044-37733.587784411386j);(290.1711050123942-80.52469788162232j)
664.6265717529673;(130724.43377192861-12354.441042644548j);(207.13381815046435+39.534447169829065j);(133718.51451801014-27725.297539672545j);(199.8516034879193-51.467428045020114j)
589.1511081412821;(128962.33928555137-12501.967961894683j);(234.50324170271165+36.890383416202745j);(122070.24444161553-27909.078070994085j);(230.63095289788754-65.17275005199538j)
368.0489855877634;(125354.1087055786-10941.853233347425j);(329.59832305901404-41.28089355790617j);(116243.76104356145-49515.10239502778j);(311.95292856700314-132.5370386647227j)
664.3880867952646;(131393.96260658462-8832.234224931064j);(210.95015182028015+46.33438485579637j);(128368.47292463046-28164.556594347596j);(208.04401040888072-48.24384922820952j)
648.715683773177;(123027.83545901261-12254.72363938888j);(206.18505481472226+32.79887595444125j);(128474.71734410277-31964.194742436448j);(200.24975301024236-42.4755450405796j)
410.86267604719944;(136054.19949783824-10440.559580637186j);(310.1556000127325-33.83511272887621j);(115862.61167980824-44784.88802369089j);(289.5946127457025-118.072590792803j)
354.34701924023915;(127961.882260272-9560.49332820277j);(350.91810093502863-32.938449487815426j);(114757.42238227128-44074.51527940688j);(326.8018956688278-121.66505792975632j)
579.022437265736;(134470.22653704506-13324.792564689225j);(225.9307382955487+25.535669816537386j);(131352.81119782082-30563.999695460963j);(228.13454468784764-61.139855498039225j)
269.6589156573066;(124196.69363814442-13854.848153758763j);(387.6020097092456-123.39210840538126j);(105348.12272932951-52192.2394529118j);(378.1475862527265-198.3269718964486j)
303.9476754108117;(127609.78287965823-12981.129231553976j);(390.96461248075406-79.28344279688153j);(109470.85283011291-48290.89834051446j);(358.8804194867973-183.23694886012726j)
194.19649375807313;(119331.35761053518-20465.444194908865j);(458.1594560480612-243.3900644990207j);(89221.53636943107-59754.99845806353j);(483.72913040794026-293.68931230572525j)
638.5468951762189;(132655.36171004715-14971.737209340256j);(221.7943900192471+45.80023637995465j);(131474.36295184254-29220.923053118076j);(201.81584816546064-43.595352786624936j)
568.9649882574583;(128997.24953410767-13369.428830412113j);(246.78785572843825+26.863635807229528j);(126481.37320111867-31406.846846772907j);(236.53948765758457-44.70197587630594j)
591.944265817011;(134458.5747141698-14958.43334323415j);(240.21537924177008+46.2944167098772j);(129086.44930578243-29296.161073948802j);(211.00467201025737-57.521669200505066j)
635.0155476825216;(132007.54104140727-9191.50891961444j);(217.42835247370297+44.27374112081315j);(129449.30643175326-25694.577167556414j);(194.9299936144816-38.96176780818499j)
451.5819920568538;(133071.70770351778-11503.64582742934j);(287.06450339160017+5.790312462466512j);(121496.32391323382-36865.071911153485j);(273.91473154549726-92.430404765843j)
514.1824816931494;(135387.93650044518-8167.101229111494j);(262.75124147170663+31.903281405824952j);(130202.41603584948-35653.65077102817j);(246.14982595052913-66.72277916952365j)
269.68428893276473;(125596.61137686981-12701.940626928907j);(415.5071624693102-116.27994515037987j);(101015.34103150699-53549.18806030658j);(382.74091284572785-197.5060508282571j)
255.28214191550487;(121191.20058540166-16582.604105931245j);(409.24304164408113-135.30598181436017j);(98848.0213875135-49932.306113985105j);(394.5387091039765-193.90548610034165j)
570.9896882205688;(131363.5970544832-9528.123025091061j);(248.780109383789+30.108181653827796j);(133513.0617560857-34551.663621029336j);(227.55439781707102-52.56944421803691j)
458.5248375015855;(130427.19741470566-13036.307723363849j);(297.4540039887501-0.3779625264053714j);(123531.07524317357-42320.897890602755j);(268.55320563153-96.67765661255996j)
512.1845806942777;(134461.9450271115-8888.821115908657j);(271.98842641765486+17.865525334207273j);(129076.66155402295-30893.5078277972j);(238.85545919690486-72.71112844916432j)
626.0493487271347;(129827.57355351777-6760.47944994548j);(227.43099881469314+44.22510922501628j);(126579.4220371878-30357.649351834058j);(205.81451560840802-55.02567146231642j)
551.7894424003368;(134857.27376434073-3923.358875285224j);(257.65527893151216+23.21206762980148j);(131021.81712797016-38807.121340795566j);(222.7367838602517-56.6372437044948j)
505.54025837505765;(128493.85936123278-11614.450586893867j);(277.0454686890748+15.053279618606256j);(127410.38505636099-36078.914867623724j);(253.10282442890463-63.735521862684216j)
508.74808162488574;(130221.91044298862-13110.927569183352j);(267.4573066146614+8.574255004941913j);(128693.14601352792-34533.245550220934j);(252.19378447071566-80.9175619190916j)
363.25155589568897;(132051.4050999541-14458.32892149099j);(336.15265733069924-57.716341992569824j);(115183.43751143683-47613.7064482165j);(330.1102532151567-126.45620542030036j)
